ano,Categoria CID-10,mes,OBITOS,AREA_DESMATADA_KM2,FRP,RISCOFOGO,PRECIPITACAO,DIASEMCHUVA,pm2.5_atm,QUALIDADE_AR_CLASSIFICADA,CID_PURO,Sensibilidade
2020,J01   Sinusite aguda,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J01,Baixa
2020,J06   Infecc agudas vias aereas super loc mult NE,1,1,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J06,Baixa
2020,J38   Doenc das cordas vocais e da laringe NCOP,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J38,Baixa
2020,J39   Outr doenc das vias aereas super,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J39,Baixa
2020,J80   Sindr do desconforto respirat do adulto,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J80,Baixa
2020,J81   Edema pulmonar NE de outr form,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J81,Baixa
2020,J84   Outr doenc pulmonares intersticiais,1,4,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J84,Baixa
2020,J86   Piotorax,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J86,Baixa
2020,J90   Derrame pleural NCOP,1,2,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J90,Baixa
2020,J93   Pneumotorax,1,1,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J93,Baixa
2020,J96   Insuf respirat NCOP,1,1,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J96,Baixa
2020,J98   Outr transt respirat,1,3,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J98,Baixa
2020,J01   Sinusite aguda,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J01,Baixa
2020,J06   Infecc agudas vias aereas super loc mult NE,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J06,Baixa
2020,J38   Doenc das cordas vocais e da laringe NCOP,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J38,Baixa
2020,J39   Outr doenc das vias aereas super,2,2,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J39,Baixa
2020,J80   Sindr do desconforto respirat do adulto,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J80,Baixa
2020,J81   Edema pulmonar NE de outr form,2,2,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J81,Baixa
2020,J84   Outr doenc pulmonares intersticiais,2,2,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J84,Baixa
2020,J86   Piotorax,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J86,Baixa
2020,J90   Derrame pleural NCOP,2,1,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J90,Baixa
2020,J93   Pneumotorax,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J93,Baixa
2020,J96   Insuf respirat NCOP,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J96,Baixa
2020,J98   Outr transt respirat,2,2,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J98,Baixa
2020,J01   Sinusite aguda,4,-,0.407245272186778,,,,,3.9405,Boa,J01,Baixa
2020,J06   Infecc agudas vias aereas super loc mult NE,4,6,0.407245272186778,,,,,3.9405,Boa,J06,Baixa
2020,J38   Doenc das cordas vocais e da laringe NCOP,4,-,0.407245272186778,,,,,3.9405,Boa,J38,Baixa
2020,J39   Outr doenc das vias aereas super,4,-,0.407245272186778,,,,,3.9405,Boa,J39,Baixa
2020,J80   Sindr do desconforto respirat do adulto,4,76,0.407245272186778,,,,,3.9405,Boa,J80,Baixa
2020,J81   Edema pulmonar NE de outr form,4,-,0.407245272186778,,,,,3.9405,Boa,J81,Baixa
2020,J84   Outr doenc pulmonares intersticiais,4,11,0.407245272186778,,,,,3.9405,Boa,J84,Baixa
2020,J86   Piotorax,4,-,0.407245272186778,,,,,3.9405,Boa,J86,Baixa
2020,J90   Derrame pleural NCOP,4,2,0.407245272186778,,,,,3.9405,Boa,J90,Baixa
2020,J93   Pneumotorax,4,-,0.407245272186778,,,,,3.9405,Boa,J93,Baixa
2020,J96   Insuf respirat NCOP,4,14,0.407245272186778,,,,,3.9405,Boa,J96,Baixa
2020,J98   Outr transt respirat,4,26,0.407245272186778,,,,,3.9405,Boa,J98,Baixa
2020,J01   Sinusite aguda,5,-,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J01,Baixa
2020,J06   Infecc agudas vias aereas super loc mult NE,5,-,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J06,Baixa
