ano,Categoria CID-10,mes,OBITOS,AREA_DESMATADA_KM2,FRP,RISCOFOGO,PRECIPITACAO,DIASEMCHUVA,pm2.5_atm,QUALIDADE_AR_CLASSIFICADA,CID_PURO,Sensibilidade
2020,J11   Influenza dev virus nao identificado,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,1,16,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,1,16,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J18,Média
2020,J21   Bronquiolite aguda,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,1,-,0.0707245956608127,,0.0,1.1111111111111112,2.333333333333333,10.9135,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,2,2,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,2,9,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,2,18,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J18,Média
2020,J21   Bronquiolite aguda,2,1,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,2,-,0.108454904506648,,0.05,1.4285714285714286,3.7142857142857135,9.3185,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,4,6,0.407245272186778,,,,,3.9405,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,4,53,0.407245272186778,,,,,3.9405,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,4,12,0.407245272186778,,,,,3.9405,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,4,83,0.407245272186778,,,,,3.9405,Boa,J18,Média
2020,J21   Bronquiolite aguda,4,2,0.407245272186778,,,,,3.9405,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,4,-,0.407245272186778,,,,,3.9405,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,5,1,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,5,38,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,5,10,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,5,45,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J18,Média
2020,J21   Bronquiolite aguda,5,1,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,5,-,0.959360196050801,,0.01,1.7966666666666666,2.333333333333333,4.591,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,6,1,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,6,2,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,6,9,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,6,10,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J18,Média
2020,J21   Bronquiolite aguda,6,-,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,6,-,0.9065798616402392,,0.06,1.1444444444444446,1.7777777777777777,6.568499999999999,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,7,-,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J11,Média
2020,J12   Pneumonia viral NCOP,7,2,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J12,Média
2020,J15   Pneumonia bacter NCOP,7,7,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J15,Média
2020,J18   Pneumonia p/microorg NE,7,13,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J18,Média
2020,J21   Bronquiolite aguda,7,-,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,7,-,1.5051604238736802,,0.2423076923076923,0.2058823529411764,3.5294117647058822,13.855,Moderada,J22,Média
2020,J11   Influenza dev virus nao identificado,8,-,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J11,Média
2020,J12   Pneumonia viral NCOP,8,-,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J12,Média
2020,J15   Pneumonia bacter NCOP,8,6,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J15,Média
2020,J18   Pneumonia p/microorg NE,8,22,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J18,Média
2020,J21   Bronquiolite aguda,8,-,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,8,1,1.151379578168588,,0.3178723404255319,0.2625,4.520833333333333,30.5825,Moderada,J22,Média
2020,J11   Influenza dev virus nao identificado,9,2,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J11,Média
2020,J12   Pneumonia viral NCOP,9,1,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J12,Média
2020,J15   Pneumonia bacter NCOP,9,9,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J15,Média
2020,J18   Pneumonia p/microorg NE,9,16,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J18,Média
2020,J21   Bronquiolite aguda,9,2,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,9,-,0.6084209635642237,,0.2263333333333333,1.3611111111111112,1.9166666666666667,26.13475,Moderada,J22,Média
2020,J11   Influenza dev virus nao identificado,10,1,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J11,Média
2020,J12   Pneumonia viral NCOP,10,3,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J12,Média
2020,J15   Pneumonia bacter NCOP,10,8,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J15,Média
2020,J18   Pneumonia p/microorg NE,10,21,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J18,Média
2020,J21   Bronquiolite aguda,10,-,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,10,-,0.4656562105673599,,0.2,0.5,1.5,23.9865,Moderada,J22,Média
2020,J11   Influenza dev virus nao identificado,11,-,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,11,-,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,11,12,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,11,16,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J18,Média
2020,J21   Bronquiolite aguda,11,-,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,11,-,0.114769600547792,8.333333333333334,0.0166666666666666,2.411111111111111,0.8888888888888888,10.91375,Boa,J22,Média
2020,J11   Influenza dev virus nao identificado,12,2,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J11,Média
2020,J12   Pneumonia viral NCOP,12,2,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J12,Média
2020,J15   Pneumonia bacter NCOP,12,9,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J15,Média
2020,J18   Pneumonia p/microorg NE,12,23,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J18,Média
2020,J21   Bronquiolite aguda,12,-,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J21,Média
2020,J22   Infecc agudas NE das vias aereas infer,12,-,0.030889388134596,3.975,0.0777777777777777,4.658333333333333,0.8333333333333334,9.6925,Boa,J22,Média
2021,J10   Influenza dev outro virus influenza ident,1,2,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J10,Média
2021,J11   Influenza dev virus nao identificado,1,11,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J11,Média
2021,J12   Pneumonia viral NCOP,1,99,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J12,Média
2021,J15   Pneumonia bacter NCOP,1,15,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J15,Média
2021,J18   Pneumonia p/microorg NE,1,62,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J18,Média
2021,J21   Bronquiolite aguda,1,1,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J21,Média
2021,J22   Infecc agudas NE das vias aereas infer,1,2,0.0182331010278264,4.8500000000000005,0.0,20.45,1.0,5.875,Boa,J22,Média
2021,J10   Influenza dev outro virus influenza ident,2,-,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J10,Média
2021,J11   Influenza dev virus nao identificado,2,6,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J11,Média
2021,J12   Pneumonia viral NCOP,2,35,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J12,Média
2021,J15   Pneumonia bacter NCOP,2,11,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J15,Média
2021,J18   Pneumonia p/microorg NE,2,33,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J18,Média
2021,J21   Bronquiolite aguda,2,-,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J21,Média
2021,J22   Infecc agudas NE das vias aereas infer,2,2,0.0791241909791171,1.2,0.0,0.2,0.0,27.022,Moderada,J22,Média
2021,J10   Influenza dev outro virus influenza ident,4,-,0.5397433507332855,0.6,,2.7,0.0,5.50375,Boa,J10,Média
2021,J11   Influenza dev virus nao identificado,4,1,0.5397433507332855,0.6,,2.7,0.0,5.50375,Boa,J11,Média
