year;areakm;municipality;geocode_ibge;state
2000;0,24727776573110533;Alvarães;1300029;Amazonas
2001;0,020330166814739252;Alvarães;1300029;Amazonas
2002;0,020330166814739252;Alvarães;1300029;Amazonas
2003;0;Alvarães;1300029;Amazonas
2004;0;Alvarães;1300029;Amazonas
2005;0,040820761238833284;Alvarães;1300029;Amazonas
2006;0,040820761238833284;Alvarães;1300029;Amazonas
2007;0,02161946758855467;Alvarães;1300029;Amazonas
2008;0,02161946758855467;Alvarães;1300029;Amazonas
2009;0,003076713713807402;Alvarães;1300029;Amazonas
2010;0,003076713713807402;Alvarães;1300029;Amazonas
2011;0,014784529761571514;Alvarães;1300029;Amazonas
2012;0,014784529761571514;Alvarães;1300029;Amazonas
2013;0,014784529761571514;Alvarães;1300029;Amazonas
2014;0;Alvarães;1300029;Amazonas
2015;0;Alvarães;1300029;Amazonas
2016;0;Alvarães;1300029;Amazonas
2017;0,007622380112690014;Alvarães;1300029;Amazonas
2018;0,007622380112690014;Alvarães;1300029;Amazonas
2019;0;Alvarães;1300029;Amazonas
2020;0;Alvarães;1300029;Amazonas
2021;0,011266788746973408;Alvarães;1300029;Amazonas
2022;0;Alvarães;1300029;Amazonas
2023;0,03820266068255552;Alvarães;1300029;Amazonas
2000;0,2518407878631145;Amaturá;1300060;Amazonas
2001;0;Amaturá;1300060;Amazonas
2002;0;Amaturá;1300060;Amazonas
2003;0,006093099878867739;Amaturá;1300060;Amazonas
2004;0,006093099878867739;Amaturá;1300060;Amazonas
2005;0,005508220266449265;Amaturá;1300060;Amazonas
2006;0,005508220266449265;Amaturá;1300060;Amazonas
2007;0,011448761778103235;Amaturá;1300060;Amazonas
2008;0,011448761778103235;Amaturá;1300060;Amazonas
2009;0,005051515252754045;Amaturá;1300060;Amazonas
2010;0,005051515252754045;Amaturá;1300060;Amazonas
2011;0,039999588982114496;Amaturá;1300060;Amazonas
2012;0,039999588982114496;Amaturá;1300060;Amazonas
2013;0,039999588982114496;Amaturá;1300060;Amazonas
2014;0,05118214924738569;Amaturá;1300060;Amazonas
2015;0,031715606500823876;Amaturá;1300060;Amazonas
2016;0,031715606500823876;Amaturá;1300060;Amazonas
2017;0,05674008932669246;Amaturá;1300060;Amazonas
2018;0,05674008932669246;Amaturá;1300060;Amazonas
2019;0,01707154719220288;Amaturá;1300060;Amazonas
2020;0,0930053529973859;Amaturá;1300060;Amazonas
2021;0,024997607938935042;Amaturá;1300060;Amazonas
2022;0,020104140352175708;Amaturá;1300060;Amazonas
2023;0,5608912102260905;Amaturá;1300060;Amazonas
2000;1,7034395089178993;Anamã;1300086;Amazonas
2001;0,05048280979727335;Anamã;1300086;Amazonas
2002;0,05048280979727335;Anamã;1300086;Amazonas
2003;0,10647261156307435;Anamã;1300086;Amazonas
2004;0,10647261156307435;Anamã;1300086;Amazonas
2005;0,015609414883315796;Anamã;1300086;Amazonas
2006;0,015609414883315796;Anamã;1300086;Amazonas
2007;0,009197334304435631;Anamã;1300086;Amazonas
2008;0,009197334304435631;Anamã;1300086;Amazonas
2009;0,005743527613741346;Anamã;1300086;Amazonas
2010;0,005743527613741346;Anamã;1300086;Amazonas
2011;0;Anamã;1300086;Amazonas
2012;0;Anamã;1300086;Amazonas
2013;0;Anamã;1300086;Amazonas
