year;month;area;uf;className;numPol
2020;11;0.07;AM;MINERACAO;1
2023;6;3.04;AM;MINERACAO;31
2020;12;0.13;AM;MINERACAO;1
2023;5;0.52;AM;MINERACAO;7
2020;10;0.3;AM;MINERACAO;4
2023;7;5.03;AM;MINERACAO;39
2023;4;0.96;AM;MINERACAO;8
2020;9;1.76;AM;MINERACAO;16
2021;2;0.38;AM;MINERACAO;4
2023;8;3.45;AM;MINERACAO;27
2020;8;1.36;AM;MINERACAO;13
2023;3;2.18;AM;MINERACAO;15
2021;4;0.94;AM;MINERACAO;9
2023;9;10.91;AM;MINERACAO;81
2023;2;0.4;AM;MINERACAO;6
2023;10;1.33;AM;MINERACAO;10
2023;1;0.22;AM;MINERACAO;2
2021;5;0.92;AM;MINERACAO;11
2020;7;0.38;AM;MINERACAO;5
2022;12;0.63;AM;MINERACAO;7
2023;11;0.27;AM;MINERACAO;3
2021;6;0.59;AM;MINERACAO;6
2022;11;0.35;AM;MINERACAO;4
2020;6;1.19;AM;MINERACAO;13
2023;12;0.31;AM;MINERACAO;3
2022;10;0.14;AM;MINERACAO;2
2021;7;1.11;AM;MINERACAO;14
2020;5;1.14;AM;MINERACAO;10
2021;8;4.14;AM;MINERACAO;41
2022;8;1.24;AM;MINERACAO;13
2020;4;0.07;AM;MINERACAO;1
2020;3;1.06;AM;MINERACAO;11
2021;9;2.16;AM;MINERACAO;14
2022;7;1.91;AM;MINERACAO;18
2020;2;0.12;AM;MINERACAO;3
2021;10;2.63;AM;MINERACAO;23
2022;6;3.99;AM;MINERACAO;22
2022;5;0.4;AM;MINERACAO;5
2021;12;0.18;AM;MINERACAO;2
2022;4;0.42;AM;MINERACAO;7
2022;1;0.34;AM;MINERACAO;3
2021;7;1.79;AM;DESMATAMENTO_VEG;14
2020;6;5.11;AM;DESMATAMENTO_VEG;45
2020;1;2.91;AM;DESMATAMENTO_VEG;24
2021;10;0.45;AM;DESMATAMENTO_VEG;1
2021;6;5.47;AM;DESMATAMENTO_VEG;39
2020;2;1.3;AM;DESMATAMENTO_VEG;8
2020;12;0.14;AM;DESMATAMENTO_VEG;1
2020;3;0.48;AM;DESMATAMENTO_VEG;3
2021;9;0.16;AM;DESMATAMENTO_VEG;2
2020;8;1.63;AM;DESMATAMENTO_VEG;12
2020;7;7.94;AM;DESMATAMENTO_VEG;42
2020;4;0.12;AM;DESMATAMENTO_VEG;1
2021;5;3.86;AM;DESMATAMENTO_VEG;26
