year;month;area;uf;className;numPol
2020;11;0.07;AM;MINERACAO;1
2020;12;0.13;AM;MINERACAO;1
2020;10;0.3;AM;MINERACAO;4
2020;9;1.76;AM;MINERACAO;16
2020;8;1.36;AM;MINERACAO;13
2020;7;0.38;AM;MINERACAO;5
2020;6;1.19;AM;MINERACAO;13
2020;5;1.14;AM;MINERACAO;10
2020;4;0.07;AM;MINERACAO;1
2020;3;1.06;AM;MINERACAO;11
2020;2;0.12;AM;MINERACAO;3
2020;6;5.11;AM;DESMATAMENTO_VEG;45
2020;1;2.91;AM;DESMATAMENTO_VEG;24
2020;2;1.3;AM;DESMATAMENTO_VEG;8
2020;12;0.14;AM;DESMATAMENTO_VEG;1
2020;3;0.48;AM;DESMATAMENTO_VEG;3
2020;8;1.63;AM;DESMATAMENTO_VEG;12
2020;7;7.94;AM;DESMATAMENTO_VEG;42
2020;4;0.12;AM;DESMATAMENTO_VEG;1
2020;5;1.93;AM;DESMATAMENTO_VEG;8
2020;1;10.53;AM;DESMATAMENTO_CR;92
2020;2;19.31;AM;DESMATAMENTO_CR;87
2020;3;71.17;AM;DESMATAMENTO_CR;143
2020;4;77.27;AM;DESMATAMENTO_CR;165
2020;5;180.38;AM;DESMATAMENTO_CR;494
2020;6;167.17;AM;DESMATAMENTO_CR;885
2020;7;278.09;AM;DESMATAMENTO_CR;1472
2020;8;217.17;AM;DESMATAMENTO_CR;1571
2020;9;115.62;AM;DESMATAMENTO_CR;679
2020;10;88.49;AM;DESMATAMENTO_CR;514
2020;12;5.73;AM;DESMATAMENTO_CR;33
2020;11;21.81;AM;DESMATAMENTO_CR;105
