"Categoria CID-10";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"J01   Sinusite aguda";1;-;-;-;-;-;-;-;-;-;-;-;1
"J03   Amigdalite aguda";-;1;-;-;-;-;1;-;-;-;-;-;2
"J04   Laringite e traqueite agudas";-;1;-;-;-;-;-;-;-;1;-;-;2
"J06   Infecc agudas vias aereas super loc mult NE";-;-;-;1;-;1;-;-;-;-;-;-;2
"J10   Influenza dev outro virus influenza ident";11;3;4;-;3;8;8;4;4;2;-;-;47
"J11   Influenza dev virus nao identificado";6;1;2;2;3;1;3;1;1;2;6;1;29
"J12   Pneumonia viral NCOP";3;-;2;1;1;2;2;-;1;1;-;2;15
"J15   Pneumonia bacter NCOP";25;16;20;20;14;20;19;12;9;14;14;16;199
"J18   Pneumonia p/microorg NE";39;22;20;17;23;26;34;20;18;15;20;32;286
"J20   Bronquite aguda";-;-;1;-;-;-;-;-;-;-;-;-;1
"J21   Bronquiolite aguda";-;1;-;-;2;3;1;-;-;-;1;-;8
"J22   Infecc agudas NE das vias aereas infer";1;-;-;-;-;-;-;-;-;-;1;-;2
"J39   Outr doenc das vias aereas super";-;-;-;1;-;-;-;-;-;-;-;-;1
"J43   Enfisema";2;4;1;2;4;4;3;6;2;1;3;1;33
"J44   Outr doenc pulmonares obstrutivas cronicas";25;10;22;13;11;12;16;20;15;20;15;12;191
"J45   Asma";1;-;2;4;1;2;-;2;-;2;-;2;16
"J46   Estado de mal asmatico";-;-;1;-;-;-;-;-;-;-;-;-;1
"J47   Bronquectasia";-;-;-;-;1;1;1;-;-;-;-;-;3
"J68   Afecc resp dev inal prod quim gas fumac vap";-;-;-;1;-;1;-;-;1;-;-;-;3
"J69   Pneumonite dev solidos e liquidos";9;4;3;4;4;2;3;4;4;3;3;6;49
"J80   Sindr do desconforto respirat do adulto";2;1;1;1;-;-;1;2;-;-;1;1;10
"J81   Edema pulmonar NE de outr form";1;-;3;-;-;-;1;1;1;1;2;-;10
"J84   Outr doenc pulmonares intersticiais";1;5;7;6;1;3;5;4;1;3;8;2;46
"J85   Abscesso do pulmao e do mediastino";2;-;-;-;-;2;-;-;1;2;-;-;7
"J86   Piotorax";-;2;4;1;-;1;2;-;-;1;-;1;12
"J90   Derrame pleural NCOP";2;1;3;1;1;3;4;1;1;1;-;2;20
"J93   Pneumotorax";-;-;-;-;1;-;-;-;-;3;-;1;5
"J94   Outr afeccoes pleurais";-;1;-;-;-;-;1;-;-;-;-;-;2
"J96   Insuf respirat NCOP";1;-;1;-;1;4;2;2;-;-;-;1;12
"J98   Outr transt respirat";3;4;2;1;7;2;-;5;3;3;1;1;32
"Total";135;77;99;76;78;98;107;84;62;75;75;81;1047
