Ano,Mes,Codigo_IBGE,Municipio_Nome,Obitos
2020,Janeiro,130002,ALVARAES,0.0
2020,Janeiro,130006,AMATURA,0.0
2020,Janeiro,130008,ANAMA,0.0
2020,Janeiro,130010,ANORI,0.0
2020,Janeiro,130014,APUI,0.0
2020,Janeiro,130020,ATALAIA DO NORTE,0.0
2020,Janeiro,130030,AUTAZES,1.0
2020,Janeiro,130040,BARCELOS,1.0
2020,Janeiro,130050,BARREIRINHA,2.0
2020,Janeiro,130060,BENJAMIN CONSTANT,0.0
2020,Janeiro,130068,BOA VISTA DO RAMOS,0.0
2020,Janeiro,130070,BOCA DO ACRE,0.0
2020,Janeiro,130080,BORBA,0.0
2020,Janeiro,130083,CAAPIRANGA,0.0
2020,Janeiro,130090,CANUTAMA,0.0
2020,Janeiro,130100,CARAUARI,3.0
2020,Janeiro,130110,CAREIRO,1.0
2020,Janeiro,130115,CAREIRO DA VARZEA,0.0
2020,Janeiro,130120,COARI,2.0
2020,Janeiro,130130,CODAJAS,1.0
2020,Janeiro,130140,EIRUNEPE,5.0
2020,Janeiro,130150,ENVIRA,0.0
2020,Janeiro,130160,FONTE BOA,2.0
2020,Janeiro,130165,GUAJARA,1.0
2020,Janeiro,130170,HUMAITA,2.0
2020,Janeiro,130180,IPIXUNA,0.0
2020,Janeiro,130185,IRANDUBA,3.0
2020,Janeiro,130190,ITACOATIARA,2.0
2020,Janeiro,130195,ITAMARATI,0.0
2020,Janeiro,130200,ITAPIRANGA,0.0
2020,Janeiro,130220,JURUA,0.0
2020,Janeiro,130230,JUTAI,1.0
2020,Janeiro,130240,LABREA,3.0
2020,Janeiro,130250,MANACAPURU,9.0
2020,Janeiro,130255,MANAQUIRI,0.0
2020,Janeiro,130260,MANAUS,70.0
2020,Janeiro,130270,MANICORE,1.0
2020,Janeiro,130280,MARAA,2.0
2020,Janeiro,130290,MAUES,2.0
2020,Janeiro,130300,NHAMUNDA,1.0
2020,Janeiro,130310,NOVA OLINDA DO NORTE,1.0
2020,Janeiro,130320,NOVO AIRAO,0.0
2020,Janeiro,130330,NOVO ARIPUANA,0.0
2020,Janeiro,130340,PARINTINS,3.0
2020,Janeiro,130350,PAUINI,0.0
2020,Janeiro,130353,PRESIDENTE FIGUEIREDO,2.0
2020,Janeiro,130356,RIO PRETO DA EVA,1.0
2020,Janeiro,130360,SANTA ISABEL DO RIO NEGRO,0.0
2020,Janeiro,130370,SANTO ANTONIO DO ICA,1.0
2020,Janeiro,130380,SAO GABRIEL DA CACHOEIRA,4.0
2020,Janeiro,130390,SAO PAULO DE OLIVENCA,2.0
2020,Janeiro,130395,SAO SEBASTIAO DO UATUMA,0.0
2020,Janeiro,130400,SILVES,0.0
2020,Janeiro,130406,TABATINGA,0.0
2020,Janeiro,130410,TAPAUA,0.0
2020,Janeiro,130420,TEFE,4.0
2020,Janeiro,130423,TONANTINS,0.0
2020,Janeiro,130426,UARINI,2.0
2020,Janeiro,130430,URUCARA,0.0
2020,Janeiro,130440,URUCURITUBA,0.0
2020,Janeiro,Total,,135.0
2020,Fevereiro,130002,ALVARAES,1.0
2020,Fevereiro,130006,AMATURA,0.0
2020,Fevereiro,130008,ANAMA,0.0
2020,Fevereiro,130010,ANORI,0.0
2020,Fevereiro,130014,APUI,0.0
2020,Fevereiro,130020,ATALAIA DO NORTE,0.0
2020,Fevereiro,130030,AUTAZES,1.0
2020,Fevereiro,130040,BARCELOS,1.0
2020,Fevereiro,130050,BARREIRINHA,1.0
2020,Fevereiro,130060,BENJAMIN CONSTANT,1.0
2020,Fevereiro,130068,BOA VISTA DO RAMOS,1.0
2020,Fevereiro,130070,BOCA DO ACRE,2.0
2020,Fevereiro,130080,BORBA,1.0
2020,Fevereiro,130083,CAAPIRANGA,0.0
2020,Fevereiro,130090,CANUTAMA,0.0
2020,Fevereiro,130100,CARAUARI,1.0
2020,Fevereiro,130110,CAREIRO,0.0
2020,Fevereiro,130115,CAREIRO DA VARZEA,2.0
2020,Fevereiro,130120,COARI,2.0
2020,Fevereiro,130130,CODAJAS,1.0
2020,Fevereiro,130140,EIRUNEPE,1.0
2020,Fevereiro,130150,ENVIRA,2.0
2020,Fevereiro,130160,FONTE BOA,1.0
2020,Fevereiro,130165,GUAJARA,0.0
2020,Fevereiro,130170,HUMAITA,2.0
2020,Fevereiro,130180,IPIXUNA,0.0
2020,Fevereiro,130185,IRANDUBA,0.0
2020,Fevereiro,130190,ITACOATIARA,1.0
2020,Fevereiro,130195,ITAMARATI,0.0
2020,Fevereiro,130200,ITAPIRANGA,0.0
2020,Fevereiro,130220,JURUA,0.0
2020,Fevereiro,130230,JUTAI,1.0
2020,Fevereiro,130240,LABREA,2.0
2020,Fevereiro,130250,MANACAPURU,3.0
2020,Fevereiro,130255,MANAQUIRI,0.0
2020,Fevereiro,130260,MANAUS,68.0
2020,Fevereiro,130270,MANICORE,0.0
2020,Fevereiro,130280,MARAA,0.0
2020,Fevereiro,130290,MAUES,0.0
2020,Fevereiro,130300,NHAMUNDA,1.0
2020,Fevereiro,130310,NOVA OLINDA DO NORTE,0.0
2020,Fevereiro,130320,NOVO AIRAO,0.0
2020,Fevereiro,130330,NOVO ARIPUANA,0.0
2020,Fevereiro,130340,PARINTINS,4.0
2020,Fevereiro,130350,PAUINI,0.0
2020,Fevereiro,130353,PRESIDENTE FIGUEIREDO,2.0
2020,Fevereiro,130356,RIO PRETO DA EVA,0.0
2020,Fevereiro,130360,SANTA ISABEL DO RIO NEGRO,1.0
2020,Fevereiro,130370,SANTO ANTONIO DO ICA,0.0
2020,Fevereiro,130380,SAO GABRIEL DA CACHOEIRA,5.0
2020,Fevereiro,130390,SAO PAULO DE OLIVENCA,3.0
2020,Fevereiro,130395,SAO SEBASTIAO DO UATUMA,1.0
2020,Fevereiro,130400,SILVES,0.0
2020,Fevereiro,130406,TABATINGA,2.0
2020,Fevereiro,130410,TAPAUA,0.0
2020,Fevereiro,130420,TEFE,4.0
2020,Fevereiro,130423,TONANTINS,0.0
2020,Fevereiro,130426,UARINI,0.0
