DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2022/04/27 05:27:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,2.8,-999.0,-3.1173,-59.92814,1.8
2022/04/27 05:27:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,5.5,-999.0,-2.95351,-60.01635,0.5
2022/04/30 17:11:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,6.2,-999.0,-3.13578,-59.9389,2.4
2022/05/19 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,0.9,-999.0,-2.95533,-60.01492,1.1
2022/04/23 17:43:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,23.0,0.0,-2.23329,-60.08075,4.3
2022/06/14 05:27:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,0.0,-999.0,-2.95426,-60.01392,0.4
2022/06/18 16:52:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2.0,0.0,0.02,-2.73803,-60.19335,4.6
2022/06/25 05:23:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,,,,-2.95488,-60.01436,0.7
2022/06/25 18:02:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,,,,-2.33644,-60.57985,0.4
2022/06/29 05:48:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,1.0,0.0,-999.0,-2.95397,-60.01519,0.8
2022/07/01 05:10:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,0.1,-999.0,-2.95385,-60.01363,0.7
2022/07/01 17:49:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,0.0,0.04,-2.39809,-60.04165,5.0
2022/07/02 17:30:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,1.22,-999.0,-3.11846,-59.92768,2.2
2022/07/06 05:16:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,0.93,-999.0,-3.11534,-59.92776,0.9
2022/07/08 17:17:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2.0,6.98,0.01,-2.37575,-60.04289,4.1
2022/07/08 17:17:00,NOAA-20,Brasil,AMAZONAS,MANAUS,Amazônia,2.0,3.63,0.03,-3.04806,-59.83956,6.4
